Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Daily_Return,MA_50,MA_200
2018-01-02,42.540000915527344,43.07500076293945,42.31499862670898,43.06499862670898,40.83159255981445,102223600,2018,1,2,,,
2018-01-03,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,40.82447814941406,118071600,2018,1,3,-0.00017414826572315079,,
2018-01-04,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,41.014102935791016,89738400,2018,1,4,0.004644969352628925,,
2018-01-05,43.36000061035156,43.84249877929688,43.26250076293945,43.75,41.4810676574707,94640000,2018,1,5,0.01138531604115589,,
2018-01-08,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,41.32698822021485,82271200,2018,1,8,-0.0037142508370535676,,
2018-01-09,43.63750076293945,43.76499938964844,43.352500915527344,43.58250045776367,41.32225036621094,86336000,2018,1,9,-0.0001147362877008673,,
2018-01-10,43.290000915527344,43.57500076293945,43.25,43.5724983215332,41.31277084350586,95839600,2018,1,10,-0.00022949890725432187,,
2018-01-11,43.647499084472656,43.872501373291016,43.622501373291016,43.81999969482422,41.54743576049805,74670800,2018,1,11,0.00568021992828216,,
2018-01-12,44.04499816894531,44.34000015258789,43.91249847412109,44.272499084472656,41.97646713256836,101672400,2018,1,12,0.01032632115015475,,
2018-01-16,44.47499847412109,44.84749984741211,44.03499984741211,44.04750061035156,41.76313400268555,118263600,2018,1,16,-0.0050821272522202365,,
2018-01-17,44.03749847412109,44.8125,43.76750183105469,44.775001525878906,42.452903747558594,137547200,2018,1,17,0.01651628141089967,,
2018-01-18,44.84249877929688,45.025001525878906,44.5625,44.81499862670898,42.49082946777344,124773600,2018,1,18,0.0008932908870356027,,
2018-01-19,44.65250015258789,44.89500045776367,44.352500915527344,44.6150016784668,42.30120849609375,129700400,2018,1,19,-0.004462723516028055,,
2018-01-22,44.32500076293945,44.44499969482422,44.150001525878906,44.25,41.95513153076172,108434400,2018,1,22,-0.008181142322873924,,
2018-01-23,44.32500076293945,44.86000061035156,44.20500183105469,44.2599983215332,41.96460723876953,130756400,2018,1,23,0.0002259507691120266,,
2018-01-24,44.3125,44.32500076293945,43.29999923706055,43.55500030517578,41.29617691040039,204420400,2018,1,24,-0.015928559491481753,,
2018-01-25,43.62749862670898,43.73749923706055,42.63249969482422,42.77750015258789,40.55900192260742,166116000,2018,1,25,-0.017850996375621597,,
2018-01-26,43.0,43.0,42.51499938964844,42.87749862670898,40.65380859375,156572000,2018,1,26,0.002337641838919824,,
2018-01-29,42.540000915527344,42.540000915527344,41.76750183105469,41.9900016784668,39.81233215332031,202561600,2018,1,29,-0.020698431034158915,,
2018-01-30,41.38249969482422,41.84249877929688,41.17499923706055,41.74250030517578,39.577667236328125,184192800,2018,1,30,-0.005894293007802864,,
2018-01-31,41.71749877929688,42.11000061035156,41.625,41.85749816894531,39.686710357666016,129915600,2018,1,31,0.0027549347290840576,,
2018-02-01,41.79249954223633,42.15499877929688,41.68999862670898,41.94499969482422,39.76966857910156,188923200,2018,2,1,0.0020904623951898404,,
2018-02-02,41.5,41.70000076293945,40.025001525878906,40.125,38.04405975341797,346375200,2018,2,2,-0.043390146812870234,,
2018-02-05,39.775001525878906,40.970001220703125,39.0,39.122501373291016,37.093563079833984,290954000,2018,2,5,-0.024984389450691147,,
2018-02-06,38.70750045776367,40.93000030517578,38.5,40.75749969482422,38.64376068115234,272975200,2018,2,6,0.04179176341340529,,
2018-02-07,40.772499084472656,40.84999847412109,39.76750183105469,39.8849983215332,37.816505432128906,206434400,2018,2,7,-0.021407136841659957,,
2018-02-08,40.0724983215332,40.25,38.75749969482422,38.78749847412109,36.77592086791992,217562000,2018,2,8,-0.02751660758675767,,
2018-02-09,39.26750183105469,39.47249984741211,37.560001373291016,39.102500915527344,37.22574234008789,282690400,2018,2,9,0.00812123632093531,,
2018-02-12,39.625,40.97249984741211,39.37749862670898,40.6775016784668,38.72515869140625,243278000,2018,2,12,0.04027877312353767,,
2018-02-13,40.48749923706055,41.1875,40.41249847412109,41.084999084472656,39.113094329833984,130196800,2018,2,13,0.0100177589377759,,
2018-02-14,40.7599983215332,41.8849983215332,40.720001220703125,41.84249877929688,39.8342399597168,162579600,2018,2,14,0.0184373788902068,,
2018-02-15,42.4474983215332,43.272499084472656,42.25,43.247501373291016,41.17180252075195,204588800,2018,2,15,0.03357836254964086,,
2018-02-16,43.09000015258789,43.70500183105469,42.942501068115234,43.10749816894531,41.03852081298828,160704400,2018,2,16,-0.003237255330366118,,
2018-02-20,43.01250076293945,43.56499862670898,42.85499954223633,42.962501525878906,40.900482177734375,135722000,2018,2,20,-0.003363606083056414,,
2018-02-21,43.20750045776367,43.52999877929688,42.75249862670898,42.76750183105469,40.71484375,149886400,2018,2,21,-0.0045388347488741765,,
2018-02-22,42.95000076293945,43.48749923706055,42.9275016784668,43.125,41.05517959594727,123967600,2018,2,22,0.008359108052594433,,
2018-02-23,43.41749954223633,43.91249847412109,43.3849983215332,43.875,41.769187927246094,135249600,2018,2,23,0.017391304347825987,,
